Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1375383817176,-198,-440,2049,-7,-13,1,1051454969,141745827,-53474344,156245223,-19056
1375383817177,-204,-443,2044,-6,-11,1,1051454870,141741516,-53496971,156242052,-19051
1375383817188,-198,-446,2036,-8,-11,-2,1051456648,141732642,-53520013,156230241,-19046
1375383817188,-214,-446,2055,-11,-14,-2,1051459114,141717134,-53552007,156216748,-19041
1375383817196,-208,-454,2043,-10,-8,1,1051460736,141701153,-53569601,156214296,-19035
1375383817196,-216,-454,2043,-9,-8,0,1051462293,141689353,-53585658,156209007,-19030
1375383817208,-224,-465,2054,-7,-2,0,1051463869,141680790,-53585039,156206377,-19025
1375383817208,-231,-459,2044,-6,2,0,1051465840,141671632,-53573835,156205259,-19020
1375383817219,-241,-475,2042,-4,7,1,1051467311,141665584,-53549265,156209268,-19015
1375383817219,-255,-468,2034,-5,8,2,1051468559,141658282,-53523617,156216282,-19010
1375383817223,-246,-463,2034,-5,8,2,1051469714,141650639,-53499903,156223560,-19005
1375383817223,-251,-463,2035,-6,9,4,1051470714,141638770,-53473584,156236603,-19000
1375383817259,-243,-454,2053,-5,11,2,1051472404,141629207,-53441098,156245014,-18994
1375383817259,-241,-451,2032,-6,11,3,1051474341,141614945,-53408413,156256083,-18989
1375383817264,-234,-453,2044,-6,9,3,1051475949,141601813,-53381416,156266388,-18984
1375383817264,-235,-450,2047,-4,7,2,1051477036,141595002,-53357794,156273314,-18979
1375383817266,-215,-444,2039,-5,6,2,1051478400,141585377,-53337543,156279770,-18974
1375383817266,-207,-446,2051,-3,3,0,1051479661,141582126,-53321918,156279560,-18969
1375383817269,-195,-438,2043,-2,1,0,1051480374,141582233,-53310336,156278615,-18964
1375383817269,-203,-446,2043,-2,0,-2,1051481969,141582167,-53299612,156271605,-18959
1375383817276,-202,-450,2043,-3,-2,-3,1051483506,141584141,-53294925,156261069,-18954
1375383817277,-205,-451,2049,-3,-1,-4,1051485559,141586294,-53286866,156248054,-18948
1375383817287,-218,-453,2044,-1,0,-2,1051486529,141590519,-53276619,156241194,-18943
1375383817288,-228,-467,2043,0,0,-5,1051488184,141598568,-53266420,156226232,-18938
1375383817297,-229,-468,2044,0,0,-4,1051489130,141608306,-53257549,156214063,-18933
1375383817298,-241,-464,2042,1,2,-6,1051490277,141623608,-53244385,156196959,-18928
1375383817309,-254,-459,2040,0,3,-5,1051491446,141635327,-53230771,156183100,-18923
1375383817309,-254,-464,2034,0,4,-5,1051492680,141646307,-53216054,156169852,-18918
1375383817313,-258,-465,2042,0,4,-6,1051494234,141658203,-53200944,156153749,-18913
1375383817313,-240,-459,2040,0,4,-6,1051495771,141670016,-53186208,156137698,-18908
1375383817349,-235,-454,2048,0,3,-6,1051497941,141678096,-53169867,156121319,-18902
1375383817349,-242,-453,2047,0,4,-7,1051500305,141688191,-53152140,156102271,-18897
1375383817354,-234,-445,2048,0,3,-8,1051503397,141695647,-53135337,156080391,-18892
1375383817354,-223,-451,2050,0,5,-8,1051506446,141704386,-53114507,156059005,-18887
1375383817356,-207,-442,2058,0,3,-9,1051510189,141711342,-53095060,156034086,-18882
1375383817356,-195,-450,2039,0,2,-11,1051514424,141720642,-53078204,156002833,-18877
1375383817358,-180,-447,2052,0,1,-12,1051518857,141731852,-53062406,155968139,-18872
1375383817358,-201,-452,2044,0,-1,-13,1051523301,141745821,-53049519,155929864,-18867
1375383817366,-210,-455,2045,0,-1,-13,1051527423,141760957,-53039172,155891825,-18862
1375383817366,-217,-459,2050,1,-1,-15,1051531868,141779630,-53028678,155848422,-18856
1375383817381,-222,-462,2028,3,0,-17,1051536805,141801379,-53014927,155799999,-18851
1375383817381,-231,-460,2035,2,-1,-17,1051541401,141824669,-53004796,155751222,-18846
1375383817390,-237,-465,2041,1,-1,-19,1051547170,141845109,-52995372,155696855,-18841
1375383817391,-255,-463,2045,3,-1,-20,1051552496,141871768,-52985304,155640007,-18836
1375383817393,-248,-466,2040,3,1,-20,1051558342,141894703,-52972221,155584051,-18831
1375383817393,-247,-467,2058,3,-2,-18,1051562562,141921788,-52967047,155532572,-18826
1375383817433,-238,-457,2046,3,-2,-17,1051566451,141948240,-52961902,155483884,-18821
1375383817433,-239,-450,2039,1,-1,-14,1051570162,141967309,-52955177,155443666,-18815
1375383817435,-233,-448,2044,0,-1,-13,1051573885,141982843,-52949591,155406191,-18810
1375383817436,-225,-451,2052,-1,-2,-12,1051577542,141995350,-52946857,155370939,-18805
1375383817437,-218,-449,2048,-1,-3,-10,1051580831,142004737,-52944178,155341011,-18800
1375383817437,-208,-445,2049,-1,-3,-10,1051583679,142017117,-52943131,155310767,-18795
1375383817444,-200,-448,2048,-1,-5,-8,1051586098,142026160,-52944916,155285508,-18790
1375383817444,-184,-441,2034,-1,-3,-6,1051588009,142034348,-52940847,155266463,-18785
1375383817446,-197,-455,2045,-1,-3,-6,1051589590,142045122,-52937543,155247021,-18780
1375383817446,-203,-454,2041,-2,-3,-4,1051590976,142051088,-52934188,155233320,-18774
1375383817456,-209,-451,2043,-2,-2,-1,1051591194,142056320,-52929962,155228491,-18769
1375383817456,-218,-456,2045,-3,-2,-1,1051591780,142058426,-52926910,155223638,-18764
1375383817468,-224,-452,2049,-3,0,-1,1051592876,142057568,-52919636,155219476,-18759
1375383817468,-230,-462,2046,-2,1,-1,1051593746,142058593,-52909906,155215963,-18754
1375383817477,-248,-460,2042,-3,4,-1,1051595207,142056942,-52892758,155213422,-18749
1375383817477,-258,-467,2037,-2,3,-2,1051596383,142058824,-52879886,155208113,-18744
1375383817484,-246,-462,2048,-2,4,0,1051596653,142061150,-52866107,155208848,-18739
1375383817484,-246,-455,2049,-4,4,0,1051597923,142056744,-52851679,155209195,-18734
1375383817522,-244,-448,2050,-3,3,-1,1051599183,142054840,-52839392,155206580,-18729
1375383817522,-234,-456,2047,-2,1,-3,1051600729,142055960,-52831425,155197795,-18723
1375383817525,-228,-452,2046,-1,0,-4,1051602149,142061313,-52824146,155185746,-18718
1375383817525,-225,-449,2047,0,0,-3,1051602888,142068791,-52816203,155176597,-18713
1375383817527,-205,-443,2053,0,0,-4,1051604116,142075974,-52807570,155164638,-18708
1375383817528,-196,-445,2041,0,2,-3,1051605007,142084188,-52793738,155155787,-18703
1375383817534,-192,-442,2044,0,4,-3,1051606186,142092051,-52773330,155147539,-18698
1375383817534,-200,-440,2035,1,5,-2,1051606808,142101644,-52749638,155142589,-18693
1375383817536,-195,-453,2041,0,4,-2,1051608088,142105812,-52727896,155137487,-18688
1375383817536,-208,-454,2044,1,7,-2,1051608798,142116007,-52698810,155133222,-18682
1375383817546,-220,-459,2046,0,8,-2,1051609893,142123209,-52668864,155129372,-18677
1375383817546,-225,-464,2036,1,7,-3,1051610701,142134472,-52642269,155122603,-18672
1375383817556,-220,-458,2048,0,7,-2,1051611307,142143777,-52617105,155118507,-18667
1375383817556,-229,-455,2056,0,5,-2,1051611821,142152733,-52596925,155113657,-18662
1375383817608,-250,-468,2039,0,3,-2,1051612559,142158829,-52581019,155108454,-18657
1375383817608,-263,-463,2041,0,3,-3,1051612721,142170679,-52569614,155100360,-18652
1375383817612,-249,-455,2045,1,2,-3,1051612308,142185289,-52562245,155092265,-18647
1375383817613,-243,-456,2051,1,1,-4,1051612438,142199155,-52555721,155080881,-18642
1375383817615,-229,-457,2041,-1,-1,-5,1051613157,142211011,-52554022,155065710,-18636
1375383817615,-242,-453,2043,1,1,-5,1051613859,142225054,-52544721,155051223,-18631
1375383817618,-225,-449,2053,2,2,-4,1051613839,142241006,-52534213,155040282,-18626
1375383817618,-211,-440,2053,1,1,-7,1051615573,142253924,-52523696,155020232,-18621
1375383817624,-198,-442,2047,0,-2,-4,1051615912,142266377,-52521208,155007347,-18616
1375383817624,-185,-447,2045,0,-1,-4,1051616468,142278634,-52514387,154994634,-18611
1375383817626,-191,-449,2052,1,-4,-4,1051616282,142295371,-52513917,154980689,-18606
1375383817626,-194,-452,2035,-1,-6,-6,1051617347,142307706,-52519718,154960174,-18601
1375383817629,-210,-452,2037,-1,-8,-5,1051617566,142321668,-52532003,154941699,-18596
1375383817629,-204,-456,2045,-1,-11,-5,1051617731,142333833,-52552205,154922552,-18590
